url,name
https://novosibirsk.hh.ru/vacancy/69700082,Тестировщик (СЭД Тезис)
https://novosibirsk.hh.ru/vacancy/69755396,QA Engineer
https://novosibirsk.hh.ru/vacancy/69590700,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/68107544,QA Engineer (Manual) Middle / Senior
https://novosibirsk.hh.ru/vacancy/68866990,Младший инженер-тестировщик / QA Engineer (Junior)
https://novosibirsk.hh.ru/vacancy/69476523,Тестировщик
https://novosibirsk.hh.ru/vacancy/69718062,QA mobile
https://novosibirsk.hh.ru/vacancy/68906849,QA тестировщик (геймдев)
https://novosibirsk.hh.ru/vacancy/69296114,Инженер по тестированию [id13261]
https://novosibirsk.hh.ru/vacancy/69630639,Тестировщик MS SQL
https://novosibirsk.hh.ru/vacancy/69751235,Тестировщик
https://novosibirsk.hh.ru/vacancy/69544534,Тестировщик
https://novosibirsk.hh.ru/vacancy/69171066,QA manual engineer
https://novosibirsk.hh.ru/vacancy/68621226,Специалист по ручному тестированию
https://novosibirsk.hh.ru/vacancy/69570412,QA Engineer \ Тестировщик веб-приложений
https://novosibirsk.hh.ru/vacancy/69667372,QA Engineer
https://novosibirsk.hh.ru/vacancy/68845490,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/69170066,Тестировщик
https://novosibirsk.hh.ru/vacancy/69463675,Специалист по тестированию / QA
https://novosibirsk.hh.ru/vacancy/69664558,QA Engineer
https://novosibirsk.hh.ru/vacancy/69592985,Тестировщик
https://novosibirsk.hh.ru/vacancy/69654929,QA Engineer (Middle/Senior)
https://novosibirsk.hh.ru/vacancy/69571319,Manual Middle + Тестировщик
https://novosibirsk.hh.ru/vacancy/69128174,Инженер по тестированию ПО / QA Engineer (Junior+/Middle)
https://novosibirsk.hh.ru/vacancy/69481822,QA Engineer
https://novosibirsk.hh.ru/vacancy/69587906,Программист-тестировщик (отдел автотестирования)
https://novosibirsk.hh.ru/vacancy/69761114,Тестировщик
https://novosibirsk.hh.ru/vacancy/69689892,QA Engineer / Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/68683694,Специалист по тестированию (МОБИЛКИ)
https://novosibirsk.hh.ru/vacancy/69662871,Инженер регулировщик РЭА
https://novosibirsk.hh.ru/vacancy/67380732,QA Engineer
https://novosibirsk.hh.ru/vacancy/69605126,Тестировщик
https://novosibirsk.hh.ru/vacancy/69754482,QA-инженер/Специалист по тестированию
https://novosibirsk.hh.ru/vacancy/69389407,Инженер-тестировщик
https://novosibirsk.hh.ru/vacancy/68969774,Инженер по функциональному тестированию в финтех
https://novosibirsk.hh.ru/vacancy/68875726,Mobile Automation QA
https://novosibirsk.hh.ru/vacancy/69727891,Инженер по нагрузочному тестированию (junior)
https://novosibirsk.hh.ru/vacancy/69051136,Тестировщик ПО
https://novosibirsk.hh.ru/vacancy/45533479,Специалист по автоматизированному тестированию
https://novosibirsk.hh.ru/vacancy/69614333,Project manager/QA Engineer
https://novosibirsk.hh.ru/vacancy/51617148,Тестировщик QA (web)
https://novosibirsk.hh.ru/vacancy/69734144,Тестировщик Middle
https://novosibirsk.hh.ru/vacancy/69665375,Middle QA Engineer
https://novosibirsk.hh.ru/vacancy/67621059,Тестировщик/QA
https://novosibirsk.hh.ru/vacancy/68691815,Инженер по тестированию
